Statistic,Year,Sex,Age.Group,value
All persons who smoke,2015,Male,15 - 19 years,9.8
All persons who smoke,2015,Male,20 - 24 years,29.8
All persons who smoke,2015,Male,25 - 29 years,36
All persons who smoke,2015,Male,30 - 34 years,34.8
All persons who smoke,2015,Male,35 - 39 years,28.5
All persons who smoke,2015,Male,40 - 44 years,26.7
All persons who smoke,2015,Male,45 - 49 years,28.8
All persons who smoke,2015,Male,50 - 54 years,27.2
All persons who smoke,2015,Male,55 - 59 years,17.7
All persons who smoke,2015,Male,60 - 64 years,17.5
All persons who smoke,2015,Male,65 - 69 years,20.6
All persons who smoke,2015,Male,70 - 74 years,13.9
All persons who smoke,2015,Male,75 years and over,7.1
All persons who smoke,2015,Female,15 - 19 years,12.9
All persons who smoke,2015,Female,20 - 24 years,29.5
All persons who smoke,2015,Female,25 - 29 years,30.5
All persons who smoke,2015,Female,30 - 34 years,28.3
All persons who smoke,2015,Female,35 - 39 years,21.4
All persons who smoke,2015,Female,40 - 44 years,29.3
All persons who smoke,2015,Female,45 - 49 years,23.1
All persons who smoke,2015,Female,50 - 54 years,21.1
All persons who smoke,2015,Female,55 - 59 years,16.9
All persons who smoke,2015,Female,60 - 64 years,19.5
All persons who smoke,2015,Female,65 - 69 years,13.7
All persons who smoke,2015,Female,70 - 74 years,11.8
All persons who smoke,2015,Female,75 years and over,7.2
All persons who smoke,2016,Male,15 - 19 years,13.2
All persons who smoke,2016,Male,20 - 24 years,26.8
All persons who smoke,2016,Male,25 - 29 years,39.4
All persons who smoke,2016,Male,30 - 34 years,43.4
All persons who smoke,2016,Male,35 - 39 years,36.3
All persons who smoke,2016,Male,40 - 44 years,26.9
All persons who smoke,2016,Male,45 - 49 years,26.4
All persons who smoke,2016,Male,50 - 54 years,23.7
All persons who smoke,2016,Male,55 - 59 years,20.4
All persons who smoke,2016,Male,60 - 64 years,19.2
All persons who smoke,2016,Male,65 - 69 years,15.4
All persons who smoke,2016,Male,70 - 74 years,11.7
All persons who smoke,2016,Male,75 years and over,12.1
All persons who smoke,2016,Female,15 - 19 years,14.1
All persons who smoke,2016,Female,20 - 24 years,30.3
All persons who smoke,2016,Female,25 - 29 years,22.3
All persons who smoke,2016,Female,30 - 34 years,27.8
All persons who smoke,2016,Female,35 - 39 years,21.3
All persons who smoke,2016,Female,40 - 44 years,19.7
All persons who smoke,2016,Female,45 - 49 years,24.1
All persons who smoke,2016,Female,50 - 54 years,21.4
All persons who smoke,2016,Female,55 - 59 years,19.7
All persons who smoke,2016,Female,60 - 64 years,12.5
All persons who smoke,2016,Female,65 - 69 years,11.9
All persons who smoke,2016,Female,70 - 74 years,15.4
All persons who smoke,2016,Female,75 years and over,7.1
All persons who smoke,2017,Male,15 - 19 years,12.4
All persons who smoke,2017,Male,20 - 24 years,33.2
All persons who smoke,2017,Male,25 - 29 years,39.5
All persons who smoke,2017,Male,30 - 34 years,37.6
All persons who smoke,2017,Male,35 - 39 years,30.3
All persons who smoke,2017,Male,40 - 44 years,23.7
All persons who smoke,2017,Male,45 - 49 years,22
All persons who smoke,2017,Male,50 - 54 years,22.5
All persons who smoke,2017,Male,55 - 59 years,25
All persons who smoke,2017,Male,60 - 64 years,19.2
All persons who smoke,2017,Male,65 - 69 years,20.6
All persons who smoke,2017,Male,70 - 74 years,15.3
All persons who smoke,2017,Male,75 years and over,11.3
All persons who smoke,2017,Female,15 - 19 years,11
All persons who smoke,2017,Female,20 - 24 years,23.2
All persons who smoke,2017,Female,25 - 29 years,33.1
All persons who smoke,2017,Female,30 - 34 years,29
All persons who smoke,2017,Female,35 - 39 years,23.3
All persons who smoke,2017,Female,40 - 44 years,18.3
All persons who smoke,2017,Female,45 - 49 years,22.4
All persons who smoke,2017,Female,50 - 54 years,18
All persons who smoke,2017,Female,55 - 59 years,23.1
All persons who smoke,2017,Female,60 - 64 years,13.8
All persons who smoke,2017,Female,65 - 69 years,16.9
All persons who smoke,2017,Female,70 - 74 years,9.4
All persons who smoke,2017,Female,75 years and over,7.9
All persons who smoke,2018,Male,15 - 19 years,13
All persons who smoke,2018,Male,20 - 24 years,31
All persons who smoke,2018,Male,25 - 29 years,33.9
All persons who smoke,2018,Male,30 - 34 years,30.7
All persons who smoke,2018,Male,35 - 39 years,31.7
All persons who smoke,2018,Male,40 - 44 years,22.8
All persons who smoke,2018,Male,45 - 49 years,18.5
All persons who smoke,2018,Male,50 - 54 years,21
All persons who smoke,2018,Male,55 - 59 years,21.3
All persons who smoke,2018,Male,60 - 64 years,19.9
All persons who smoke,2018,Male,65 - 69 years,15.7
All persons who smoke,2018,Male,70 - 74 years,13.8
All persons who smoke,2018,Male,75 years and over,8.3
All persons who smoke,2018,Female,15 - 19 years,2.4
